County,Zip Code,City,Agency PD,Total Yearly Crimes,Monthly Avg
Essex,0,MONTCLAIR STATE COLLEGE,MONTCLAIR STATE COLLEGE PD,94,7.83
Somerset,8528,MONTGOMERY TWP,MONTGOMERY TWP PD,104,8.67
Bergen,7645,MONTVALE,MONTVALE PD,20,1.67
Morris,7045,MONTVILLE TWP,MONTVILLE TWP PD,177,14.75
Bergen,7074,MOONACHIE,MOONACHIE PD,62,5.17
Burlington,8057,MOORESTOWN,MOORESTOWN PD,264,22.00
Morris,7932,MORRIS COUNTY PARK,MORRIS COUNTY PARK PD,10,0.83
Morris,7950,MORRIS PLAINS,MORRIS PLAINS PD,64,5.33
Morris,7960,MORRIS TWP,MORRIS TWP PD,126,10.50
Morris,7961,MORRISTOWN,MORRISTOWN PD,232,19.33
Morris,7856,MOUNT ARLINGTON BORO,MOUNT ARLINGTON BORO PD,26,2.17
Burlington,8060,MOUNT HOLLY,MOUNT HOLLY PD,269,22.42
Burlington,8054,MOUNT LAUREL TWP,MOUNT LAUREL TWP PD,716,59.67
Morris,7857,MOUNT OLIVE TWP,MOUNT OLIVE TWP PD,83,6.92
Morris,7046,MOUNTAIN LAKES,MOUNTAIN LAKES PD,43,3.58
Union,7092,MOUNTAINSIDE,MOUNTAINSIDE PD,55,4.58
Camden,8059,MT. EPHRAIM,MT. EPHRAIM PD,206,17.17
Atlantic,8062,MULLICA TWP,MULLICA TWP PD,77,6.42
Gloucester,8063,NATIONAL PARK,NATIONAL PARK PD,35,2.92
Monmouth,7720,NEPTUNE CITY,NEPTUNE CITY PD,151,12.58
Monmouth,7753,NEPTUNE TWP,NEPTUNE TWP PD,957,79.75
Morris,7857,NETCONG BORO,NETCONG BORO PD,17,1.42
Middlesex,8901,NEW BRUNSWICK,NEW BRUNSWICK PD,1519,126.58
Burlington,8511,NEW HANOVER TWP,NEW HANOVER TWP PD,2,0.17
Essex,0,NEW JERSEY INSTITUTE OF TECHNOL,NEW JERSEY INSTITUTE OF TECHNOLOGY,74,6.17
Essex,0,NEW JERSEY TRANSIT POL,NEW JERSEY TRANSIT POLICE,309,25.75
Bergen,7646,NEW MILFORD,NEW MILFORD PD,57,4.75
Union,7974,NEW PROVIDENCE,NEW PROVIDENCE PD,65,5.42
Essex,7101,NEWARK,NEWARK PD,7743,645.25
Gloucester,8344,NEWFIELD,NEWFIELD PD,14,1.17
Sussex,7860,NEWTON,NEWTON PD,92,7.67
Mercer,0,NJ DEPARTMENT OF HUMAN SERVI,NJ DEPARTMENT OF HUMAN SERVICES,93,7.75
Mercer,0,NJ DIV CRIMINAL JUSTICE - TREN,NJ DIV CRIMINAL JUSTICE - TRENTON,1,0.08
Mercer,0,NJ DIVISION OF FISH & WILDL,NJ DIVISION OF FISH & WILDLIFE,7,0.58
Mercer,0,NJ PARK POL,NJ PARK POLICE,59,4.92
Bergen,7031,NORTH ARLINGTON,NORTH ARLINGTON PD,153,12.75
Hudson,7047,NORTH BERGEN,NORTH BERGEN PD,533,44.42
Middlesex,8902,NORTH BRUNSWICK TWP,NORTH BRUNSWICK TWP PD,736,61.33
Essex,7006,NORTH CALDWELL,NORTH CALDWELL PD,14,1.17
Passaic,7508,NORTH HALEDON,NORTH HALEDON PD,35,2.92
Burlington,8562,NORTH HANOVER TWP,NORTH HANOVER TWP PD,28,2.33
Somerset,7060,NORTH PLAINFIELD,NORTH PLAINFIELD PD,377,31.42
Cape May,8260,NORTH WILDWOOD CITY,NORTH WILDWOOD CITY PD,180,15.00
Atlantic,8225,NORTHFIELD,NORTHFIELD PD,86,7.17
Bergen,7647,NORTHVALE,NORTHVALE PD,7,0.58
Bergen,7648,NORWOOD,NORWOOD PD,15,1.25
Essex,7110,NUTLEY,NUTLEY PD,224,18.67
Bergen,7436,OAKLAND,OAKLAND PD,55,4.58
Camden,8107,OAKLYN BORO,OAKLYN BORO PD,150,12.50
Cape May,8226,OCEAN CITY,OCEAN CITY PD,288,24.00
Ocean,0,OCEAN CO SHERIFF'S DEPT,OCEAN CO SHERIFF'S DEPT,8,0.67
Monmouth,7723,OCEAN TWP,OCEAN TWP PD,606,50.50
Ocean,8758,OCEAN TWP,OCEAN TWP PD,55,4.58
Ocean,8740,OCEANGATE BORO,OCEANGATE BORO PD,31,2.58
Monmouth,7757,OCEANPORT,OCEANPORT PD,51,4.25
Sussex,7439,OGDENSBURG,OGDENSBURG PD,4,0.33
Middlesex,8857,OLD BRIDGE TWP,OLD BRIDGE TWP PD,518,43.17
Bergen,7675,OLD TAPPAN,OLD TAPPAN PD,23,1.92
Bergen,7649,ORADELL,ORADELL PD,31,2.58
Essex,7050,ORANGE,ORANGE PD,998,83.17
Warren,7863,OXFORD TWP,OXFORD TWP PD,0,0.00
Bergen,0,PALISADES INTER. PARKWAY,PALISADES INTER. PARKWAY PD,12,1.00
Bergen,7650,PALISADES PARK,PALISADES PARK PD,147,12.25
Burlington,8065,PALMYRA BORO,PALMYRA BORO PD,164,13.67
Bergen,7652,PARAMUS,PARAMUS PD,1091,90.92
Bergen,7656,PARK RIDGE,PARK RIDGE PD,18,1.50
Morris,7054,PARSIPPANY-TROY HILLS,PARSIPPANY-TROY HILLS PD,391,32.58
Passaic,7055,PASSAIC,PASSAIC PD,1704,142.00
Passaic,7501,PATERSON,PATERSON PD,4640,386.67
Gloucester,8066,PAULSBORO,PAULSBORO PD,212,17.67
Passaic,7977,PEAPACK-GLADSTONE,PEAPACK-GLADSTONE PD,19,1.58
Burlington,8068,PEMBERTON BORO,PEMBERTON BORO PD,30,2.50
Burlington,8011,PEMBERTON TWP,PEMBERTON TWP PD,637,53.08
Mercer,8534,PENNINGTON BORO,PENNINGTON BORO PD,6,0.50
Salem,8069,PENNS GROVE,PENNS GROVE PD,213,17.75
Camden,8110,PENNSAUKEN TWP,PENNSAUKEN TWP PD,1010,84.17
Salem,8070,PENNSVILLE,PENNSVILLE PD,242,20.17
Morris,7440,PEQUANNOCK,PEQUANNOCK PD,96,8.00
Middlesex,8861,PERTH AMBOY,PERTH AMBOY PD,886,73.83
Warren,8865,PHILLIPSBURG,PHILLIPSBURG PD,65,5.42
Ocean,8741,PINE BEACH BORO,PINE BEACH BORO PD,23,1.92
Camden,8009,PINE HILL,PINE HILL PD,187,15.58
Camden,8021,PINE VALLEY BORO,PINE VALLEY BORO PD,0,0.00
Middlesex,8854,PISCATAWAY TWP,PISCATAWAY TWP PD,479,39.92
Gloucester,8071,PITMAN,PITMAN PD,52,4.33
Union,7060,PLAINFIELD,PLAINFIELD PD,1015,84.58
Middlesex,8536,PLAINSBORO TWP,PLAINSBORO TWP PD,128,10.67
Atlantic,8232,PLEASANTVILLE,PLEASANTVILLE PD,398,33.17
Ocean,8533,PLUMSTED TWP,PLUMSTED TWP PD,54,4.50
Warren,8804,POHATCONG,POHATCONG PD,79,6.58
